Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",A* (misplacedTiles),True,24,20945,20022,0.39453125
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",A* (euclideanDistance),True,24,1048,997,0.03136491775512695
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",A* (manhattanDistance),True,24,661,660,0.017734050750732422
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",A* (rowColumnHeuristic),True,24,2707,2644,0.06562972068786621
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",A* (linearConflict),True,26,2672,2643,0.09531807899475098
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",DFS,False,0,22512,21380,10.097207307815552
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",BFS,False,0,920682,867663,10.010249614715576
"[5, 1, 7, 3, 9, 2, 6, 4, 14, 13, 10, 12, 8, 0, 11, 15]",UCS,False,0,695588,604260,10.000344038009644
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",A* (misplacedTiles),True,10,49,58,0.0
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",A* (euclideanDistance),True,10,20,21,0.0010242462158203125
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",A* (manhattanDistance),True,10,20,21,0.0016944408416748047
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",A* (rowColumnHeuristic),True,10,22,24,0.0013403892517089844
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",A* (linearConflict),True,10,74,84,0.0039033889770507812
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",DFS,False,0,22389,21270,10.005026817321777
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",BFS,True,10,2524,2690,0.026050090789794922
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 15, 13, 14, 12, 8]",UCS,True,10,2828,2766,0.028583049774169922
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",A* (misplacedTiles),True,20,12255,12674,0.20737886428833008
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",A* (euclideanDistance),True,20,890,937,0.03598332405090332
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",A* (manhattanDistance),True,20,466,491,0.007721662521362305
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",A* (rowColumnHeuristic),True,20,1671,1791,0.04723381996154785
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",A* (linearConflict),True,20,572,646,0.026119470596313477
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",DFS,False,0,22138,21022,10.01099443435669
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",BFS,False,0,906265,852900,10.306844234466553
"[1, 2, 3, 4, 5, 12, 8, 15, 9, 10, 0, 11, 13, 14, 6, 7]",UCS,False,0,680408,641607,10.001106977462769
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",A* (misplacedTiles),True,10,36,44,0.008148670196533203
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",A* (euclideanDistance),True,10,25,32,0.0010170936584472656
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",A* (manhattanDistance),True,10,25,32,0.0029540061950683594
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",A* (rowColumnHeuristic),True,10,25,32,0.002264738082885742
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",A* (linearConflict),True,10,29,38,0.003000497817993164
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",DFS,False,0,22761,21616,10.000649213790894
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",BFS,True,10,4056,4246,0.041016340255737305
"[1, 2, 3, 4, 10, 9, 6, 8, 0, 5, 7, 12, 13, 14, 11, 15]",UCS,True,10,2775,2697,0.0298616886138916
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (misplacedTiles),True,16,263,275,0.0050051212310791016
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (euclideanDistance),True,16,54,55,0.00159454345703125
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (manhattanDistance),True,16,35,30,0.0
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (rowColumnHeuristic),True,16,35,30,0.0036127567291259766
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (linearConflict),True,16,22,23,0.002288818359375
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",DFS,False,0,21543,20465,10.000694274902344
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",BFS,True,16,350745,335445,3.6934573650360107
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",UCS,True,16,221474,195887,3.085151433944702
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (misplacedTiles),True,12,56,63,0.0
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (euclideanDistance),True,12,13,15,0.0
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (manhattanDistance),True,12,13,15,0.0013828277587890625
